round,accuracy,precision,recall,f1,recall_normal,f1_macro
0,0.2470271623482288,0.6470260223048327,0.07003178690701324,0.12638419925207856,0.8663240884133465,0.23238839317274113
1,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
2,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
3,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
4,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
5,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
6,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
7,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
8,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
9,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
10,0.9948992364501189,0.9981840193704601,0.9952520822435923,0.9967158946668547,0.9936646487399691,0.9926502647226003
